fecha,producto,categoria,precio_unitario,cantidad,costo_unitario,ciudad
2024-01-06,Smartwatch W2,Electrónica,200,9,150,Cusco
2024-02-28,Laptop Z5,Electrónica,950,10,750,Piura
2024-02-01,Mochila Explorer,Accesorios,45,2,25,Chiclayo
2024-01-08,Laptop Z5,Electrónica,950,1,750,Piura
2024-03-20,Laptop Z5,Electrónica,950,5,750,Arequipa
2024-01-21,Mochila Explorer,Accesorios,45,8,25,Chiclayo
2024-01-28,Mochila Explorer,Accesorios,45,2,25,Trujillo
2024-02-21,Cámara ActionCam,Electrónica,300,5,200,Piura
2024-02-03,Chaqueta Impermeable,Ropa,90,3,60,Piura
2024-01-11,Audífonos X100,Electrónica,120,5,80,Piura
2024-02-05,Chaqueta Impermeable,Ropa,90,7,60,Trujillo
2024-01-19,Chaqueta Impermeable,Ropa,90,1,60,Cusco
2024-02-02,Pantalón Jeans,Ropa,50,8,30,Arequipa
2024-02-28,Laptop Z5,Electrónica,950,1,750,Trujillo
2024-03-17,Teclado Mecánico,Electrónica,85,9,50,Piura
2024-01-27,Mochila Explorer,Accesorios,45,7,25,Cusco
2024-01-11,Pantalón Jeans,Ropa,50,9,30,Trujillo
2024-01-23,Teclado Mecánico,Electrónica,85,7,50,Cusco
2024-01-22,Smartwatch W2,Electrónica,200,2,150,Cusco
2024-03-26,Audífonos X100,Electrónica,120,4,80,Piura
2024-03-19,Teclado Mecánico,Electrónica,85,1,50,Piura
2024-02-20,Chaqueta Impermeable,Ropa,90,4,60,Piura
2024-03-04,Teclado Mecánico,Electrónica,85,8,50,Lima
2024-01-17,Camiseta Básica,Ropa,25,2,12,Piura
2024-03-16,Teclado Mecánico,Electrónica,85,8,50,Chiclayo
2024-02-16,Laptop Z5,Electrónica,950,4,750,Trujillo
2024-01-30,Smartwatch W2,Electrónica,200,9,150,Cusco
2024-03-27,Chaqueta Impermeable,Ropa,90,4,60,Piura
2024-03-14,Chaqueta Impermeable,Ropa,90,1,60,Arequipa
2024-02-09,Cámara ActionCam,Electrónica,300,7,200,Piura
2024-03-27,Audífonos X100,Electrónica,120,8,80,Arequipa
2024-03-06,Chaqueta Impermeable,Ropa,90,10,60,Arequipa
2024-03-27,Pantalón Jeans,Ropa,50,6,30,Chiclayo
2024-02-18,Mochila Explorer,Accesorios,45,9,25,Lima
2024-02-27,Pantalón Jeans,Ropa,50,1,30,Piura
2024-03-15,Cámara ActionCam,Electrónica,300,3,200,Cusco
2024-02-16,Cámara ActionCam,Electrónica,300,4,200,Lima
2024-02-02,Mochila Explorer,Accesorios,45,9,25,Piura
2024-01-27,Camiseta Básica,Ropa,25,4,12,Arequipa
2024-02-21,Pantalón Jeans,Ropa,50,1,30,Lima
2024-02-06,Pantalón Jeans,Ropa,50,1,30,Trujillo
2024-03-17,Laptop Z5,Electrónica,950,3,750,Lima
2024-01-03,Pantalón Jeans,Ropa,50,6,30,Arequipa
2024-01-13,Zapatillas Urbanas,Calzado,60,3,40,Chiclayo
2024-02-19,Chaqueta Impermeable,Ropa,90,1,60,Cusco
2024-02-08,Chaqueta Impermeable,Ropa,90,9,60,Cusco
2024-01-20,Smartwatch W2,Electrónica,200,8,150,Arequipa
2024-02-23,Laptop Z5,Electrónica,950,1,750,Trujillo
2024-02-19,Audífonos X100,Electrónica,120,5,80,Cusco
2024-02-29,Audífonos X100,Electrónica,120,3,80,Chiclayo
2024-03-29,Audífonos X100,Electrónica,120,3,80,Lima
2024-02-19,Pantalón Jeans,Ropa,50,8,30,Chiclayo
2024-03-02,Mochila Explorer,Accesorios,45,2,25,Cusco
2024-01-05,Camiseta Básica,Ropa,25,3,12,Lima
2024-02-07,Teclado Mecánico,Electrónica,85,3,50,Piura
2024-01-15,Camiseta Básica,Ropa,25,9,12,Cusco
2024-01-18,Teclado Mecánico,Electrónica,85,7,50,Arequipa
2024-01-15,Cámara ActionCam,Electrónica,300,4,200,Piura
2024-02-01,Camiseta Básica,Ropa,25,8,12,Arequipa
2024-02-05,Pantalón Jeans,Ropa,50,3,30,Arequipa
2024-01-24,Mochila Explorer,Accesorios,45,10,25,Trujillo
2024-03-24,Cámara ActionCam,Electrónica,300,5,200,Arequipa
2024-03-31,Mochila Explorer,Accesorios,45,2,25,Cusco
2024-02-08,Teclado Mecánico,Electrónica,85,10,50,Trujillo
2024-01-24,Mochila Explorer,Accesorios,45,5,25,Cusco
2024-02-02,Audífonos X100,Electrónica,120,3,80,Arequipa
2024-02-26,Mochila Explorer,Accesorios,45,10,25,Arequipa
2024-03-12,Cámara ActionCam,Electrónica,300,9,200,Trujillo
2024-02-18,Camiseta Básica,Ropa,25,10,12,Piura
2024-02-06,Camiseta Básica,Ropa,25,9,12,Cusco
2024-02-08,Chaqueta Impermeable,Ropa,90,9,60,Arequipa
2024-01-28,Pantalón Jeans,Ropa,50,3,30,Piura
2024-01-31,Cámara ActionCam,Electrónica,300,9,200,Trujillo
2024-03-12,Chaqueta Impermeable,Ropa,90,3,60,Chiclayo
2024-03-24,Cámara ActionCam,Electrónica,300,6,200,Cusco
2024-03-22,Cámara ActionCam,Electrónica,300,6,200,Arequipa
2024-03-02,Pantalón Jeans,Ropa,50,2,30,Arequipa
2024-03-22,Teclado Mecánico,Electrónica,85,2,50,Piura
2024-01-19,Cámara ActionCam,Electrónica,300,8,200,Piura
2024-01-09,Camiseta Básica,Ropa,25,9,12,Cusco
2024-03-01,Mochila Explorer,Accesorios,45,9,25,Trujillo
2024-02-02,Smartwatch W2,Electrónica,200,10,150,Piura
2024-01-18,Smartwatch W2,Electrónica,200,5,150,Trujillo
2024-01-30,Audífonos X100,Electrónica,120,9,80,Arequipa
2024-01-05,Cámara ActionCam,Electrónica,300,2,200,Chiclayo
2024-02-29,Smartwatch W2,Electrónica,200,5,150,Cusco
2024-01-09,Smartwatch W2,Electrónica,200,4,150,Chiclayo
2024-01-05,Chaqueta Impermeable,Ropa,90,8,60,Trujillo
2024-02-20,Pantalón Jeans,Ropa,50,9,30,Lima
2024-02-10,Audífonos X100,Electrónica,120,7,80,Trujillo
2024-01-28,Pantalón Jeans,Ropa,50,7,30,Trujillo
2024-03-24,Mochila Explorer,Accesorios,45,5,25,Chiclayo
2024-02-09,Camiseta Básica,Ropa,25,8,12,Chiclayo
2024-03-06,Teclado Mecánico,Electrónica,85,6,50,Arequipa
2024-03-29,Pantalón Jeans,Ropa,50,4,30,Cusco
2024-02-22,Chaqueta Impermeable,Ropa,90,5,60,Cusco
2024-01-15,Pantalón Jeans,Ropa,50,4,30,Chiclayo
2024-03-11,Zapatillas Urbanas,Calzado,60,1,40,Trujillo
2024-03-14,Cámara ActionCam,Electrónica,300,7,200,Piura
2024-01-04,Teclado Mecánico,Electrónica,85,5,50,Cusco
